LocationID,zone,borough,lon,lat
1,Newark Airport,EWR,-74.17400156582248,40.69183016020959
2,Jamaica Bay,Queens,-73.83129979354713,40.61674619937379
3,Allerton/Pelham Gardens,Bronx,-73.8474217852696,40.86447372906584
4,Alphabet City,Manhattan,-73.97696827424141,40.72375208451233
5,Arden Heights,Staten Island,-74.18848459794721,40.55265878064343
6,Arrochar/Fort Wadsworth,Staten Island,-74.07177024696533,40.600324409468406
7,Astoria,Queens,-73.91969433569462,40.761492617043125
8,Astoria Park,Queens,-73.92308626324494,40.77855862576789
9,Auburndale,Queens,-73.78794875477833,40.75103435668664
10,Baisley Park,Queens,-73.79098676199028,40.67895308442328
11,Bath Beach,Brooklyn,-74.00748784386448,40.60427268170344
12,Battery Park,Manhattan,-74.01556349991374,40.70294582144012
13,Battery Park City,Manhattan,-74.01607927269924,40.712037924667264
14,Bay Ridge,Brooklyn,-74.0298925099,40.62483367229869
15,Bay Terrace/Fort Totten,Queens,-73.78597285841018,40.7833330046879
16,Bayside,Queens,-73.77342112932584,40.76273753216493
17,Bedford,Brooklyn,-73.94990480444068,40.69150702161197
18,Bedford Park,Bronx,-73.89018381164814,40.86768222238494
19,Bellerose,Queens,-73.72665540152784,40.73548651046706
20,Belmont,Bronx,-73.88586744911127,40.857779440562844
21,Bensonhurst East,Brooklyn,-73.98353783537917,40.60142907301775
22,Bensonhurst West,Brooklyn,-73.99525864587314,40.61221766982795
23,Bloomfield/Emerson Hill,Staten Island,-74.17088508711593,40.60644824321443
24,Bloomingdale,Manhattan,-73.96547935663406,40.80197051563418
25,Boerum Hill,Brooklyn,-73.98611374739605,40.68563370139058
26,Borough Park,Brooklyn,-73.98866057160336,40.630949253264255
27,Breezy Point/Fort Tilden/Riis Beach,Queens,-73.90691199328067,40.559134755628214
28,Briarwood/Jamaica Hills,Queens,-73.80872922918115,40.71159648931973
29,Brighton Beach,Brooklyn,-73.96121662082737,40.580921751571346
30,Broad Channel,Queens,-73.82192752206782,40.60368693988757
31,Bronx Park,Bronx,-73.87547602176667,40.85774566451417
